Event,Amateur,Intermediate Upper,Intermediate Lower,Professional
50 Free,26,26,23,23
100 Free,58,58,52,52
200 Free, 2:01,2:01,1:52,1:52
400 Free,  4:30,4:30,4:00,4:00
800 Free,  9:50,9:15,8:12,8:12
1500 Free,  17:50,17:50,15:50,15:50
50 Back,30,30,26,26
100 Back,  1:03,1:03,56,56
200 Back,  2:20,2:20,2:03,2:03
50 Butterfly,27,27,24,24
100 Butterfly,  1:00,1:00,54,54
200 Butterfly,  2:15,2:15,2:01,2:01
50 Breast,32,32,28,28
100 Breast,  1:10,1:10,1:03,1:03
200 Breast,  2:30,2:30,2:16,2:16
200 IM,  2:20,2:20,2:04,2:04
400 IM,  4:59,4:59,4:29,4:29
